# Commit-hash map for the 2026-08-01 history rewrite (co-author trailers removed).
# Trees are byte-identical on both sides; only commit messages changed, so every
# SHA below moved. Use this to resolve a pre-rewrite commit recorded in a result CSV.
old_sha	new_sha
8e624ce1cc061e8fe7b3097ad11427da897509f4	5868de8641c9cddfea0c045e9df311ec5580a72b
26842d89c1bbe9e8a9bd618cbef79938a09b8ba9	12e3535b17852cdbcdbd397bb79489fd0e351b57
f258529c0e3ef4165f6868be53b2b97ea5d8e672	15f65aa6fb447c7011e711e9c10f642428d95c6a
79140213ec3fd3373e2acad441cc412522db073c	de10983882585d0298e62e90a9543ad25daf18bb
77053c02da5d257351a4eb9b1c20e53cf6056dce	1618e3caa1f1ecde58e92f8d940412b63cf664af
b4270c9748f75ee79b091830a6e7b20156ead048	4eca890c3638f0706df8703747fe56e5201100f6
cd1a876df30be6c6e348649531590240d9d8181f	1b3d2b726f7a3de91ecb40750d33d4311cb4d312
d4e2a9888659a01cf0cfd8b12ec6d87959bd70eb	f01abaeffe3273641b638801b47d12dcfff0c3df
d3499bbdc0f66756c285e48012734804b0c4575c	9ca25a202a0b0be8af2129d822d413c1da06d5ff
f2e0c0ac154df48ab2421cdb95402fd3734726df	137865fda9bb1f54d53b239eb373761e2f4cbe8c
24bd4148da875446e7b1e1f67a7a638feaae7d69	2a62476baeda097f785ad25742973d71ab6b1de5
569f424348f9e864f5a62121374b7cdaa5460abe	bc6d2d52ab0cfc153554758e715e55899e54ae60
b35494fb34ff46debd94b61e6b64e67df9794061	8082590bbbf30565937882924f0b3d7f24fbf625
68ccff465c7a49f08da13822510b6372df6c4714	81cf0c47c69189678ecea379236365e1a0d2e652
fdca80d5e1d07a7e244a0afe8c945f6aeb9d2e3f	d5f6fbf2e4c931c99f8800ddbe45e5919b2e575d
b4d004db9d3e91d3c8dc07d3a2bfba3c9b5f3229	7c3cf3dc4ac004ad3039bd95c55afc1087d930d8
0a2b80920c537a9cebf36c37da7ea12ef3a9f491	051b795f722d6416c3d2f1eb24bc833ba03f6329
93106cdba2cca42e4e341b3ebc209127efd28074	fc072c00e453373b3113b0a50702778ff3bdc6fa
6505ab81eae85b0edc7046a5467a4c48695620a4	5472a4190686627d09bd5f25291dc8c1b8d215b6
cbd286ba2ad4b73e8cb1052e4de456f9d94193c7	b167dd35ab9c290b4e73683536d8e87073bf891d
34f7555f4dadf49b883aa4b42b79b1b40f5bc1bb	6af0c848f6a2f5f19f6d1b22bf0b84ac8e5cae94
323fc4138d6e627cdb63254fd0fac7565bad757f	db330bd4f0c1edf025de62c59fea7ce56bc8fb5a
041beba85ea91e52529ca7bfc75901baf8bb596e	eb449e9db4d4e10d8926252f7bbc88522b033fa4
ce5ce211f0e8417d886ae542b9c4683122bc9087	0ed6fbba11426fb53c757d68c133e26d80d4c1af
019b4e15d4b06a4e9f8233388c2f57d28ca9c3ed	9a0d2509aa5c2d0cdea4ac4bc0b7b1e61168edb0
53437ec4699b3ccdb544ea926ab1b26db45d27c5	6dd83cf98d5138b8b902440675fd8d0328e6d923
99dead0aab9566283ab615de8906a40a0b5bc964	0ff9bbabad45129ee3a4218b4247a3fc21598162
d65ab662f735ad7d08ee810ecaee9cd3400ab260	6f19f12690377f7ce8a7550c5bfdf7ecb6cdfdd6
a409bfcdd7e37aa5049f3210ccb088685928836a	9694e0139bdadd067726b1963a34956fed3d0ec0
6ef177331f486b106e3562f822cf550b2dbb4856	1acbe47cb949c9969bc440cb2e568b18fe8d8b74
702ae23dd159391852b76a66b32a7c78e708f936	6cc451beef0e3583712dc22c61a295e09de78cd7
2094e08a45aff65f413606647aabd283873eea70	c8e24aa76b7e7a95d9dfd89056e50ac606c63971
0ed57212455326682a75871e0e8be71760b35282	ca789202e5b2ba47c22160b7b9d4d94ff74ed6b6
0181d8db0ab73ff9fcbac08afd11a06de45746f6	1cc7e9a08a4329bec325b38025861e1f9ae64dfa
66ca48d7205bc90930ef1e68accc9f4a39de05ad	3f78b92781a6671bdf05d369a949fff1e5bbc89b
baf731844a65b830a95b2167d5a3b6b77d65abcd	f4b12db757e81bec3776c3ed1dda5669e46a295b
4267882342ccd9cdc5c52909b4aba296ec41092c	f7e88138bdea35f966b6ae5f6ba25df6c902d26c
44fc27b739191805f2534eb6477da45cbe906c58	4341c60722f2ae428e7eb6df5e2112333c6707c7
3352a917d98e4a5f2fa2c3156ee81612c0f242ad	4162e88a6c32bde785651037a6bae1caf67f9cf7
97127c83b4562ea0f7983fde4a54e9242ff8ad19	a2b9f94989864d47fcd39d9791cf2c7c8286368f
c7c2f38e1be72af1708d4c79b5adf8b085d1e782	23699645bd027b6f3a593387192b3c03d082330e
d4722b279c73e91571b36aa0433e6297f5508727	2c0145fe8ca9b0b5e03b794c0b19dad76a7d496b
67ff9b6bca988de7f3d55669b10951d159f25143	89ad6dcfb0df8572059895899faaa55d26586804
6c3ea1c4526b2a037f08cf8813462f704e47ef55	7df21b95b392a03d7497c98280c0a17e65f75eda
fcdd416565132e234646f66c66839b1512fcea59	36c044319697ecf62528956099b994c3b5c80443
ee43eb3551eeeecc4c6bea94d826848146f468dd	b09367b8359777c5f19b96d0e5160298f11f5b4c
7a8f0773f90fccca01bf85eee215a57e8a5ad89b	bd472758d3a112d3ebc58026d63c340b01760231
56a738768a167b23cacf12341ee5da22bb893a93	b7aa6366bd559097011a5037bbf26cc49ef6a02e
8f98c97169b896a2caf7f5340503f49c2e29eeff	45f74858262e9462ef39b218ae0197084cc50599
47b1f6b458cf1f131f1fccb54128b9d5cfde50ff	c442e219c5f4c96a6e19f15b4fef26ef838d6e02
